periodo;regiao;no_transportes;no_utentes;valor
2018-09;Região de Saúde do Algarve;9710.0;1002.0;256724.9
2018-12;Região de Saúde do Norte;89843.0;10205.0;1715760.95
2019-01;Região de Saúde do Algarve;10906.0;983.0;280204.08
2019-02;Região de Saúde do Centro;34458.0;4798.0;805188.099999999
2019-02;Região de Saúde LVT;66249.0;6796.0;1484987.16
2019-06;Região de Saúde do Centro;33281.0;4792.0;776998.4
2019-06;Região de Saúde LVT;68949.0;7029.0;1562394.06
2019-07;Região de Saúde do Algarve;10985.0;1036.0;277334.95
2019-09;Região de Saúde LVT;69987.0;7116.0;1606503.91
2019-09;Região de Saúde do Algarve;9886.0;981.0;253883.9
2019-10;Região de Saúde LVT;79499.0;7571.0;1824433.73
2019-11;Região de Saúde LVT;73117.0;7344.0;1706878.63
2020-01;Região de Saúde do Centro;38130.0;4971.0;872236.03
2020-01;Região de Saúde do Algarve;11152.0;925.0;266475.87
2020-03;Região de Saúde do Alentejo;3317.0;626.0;96054.03
2020-04;Região de Saúde do Centro;13550.0;1752.0;497240.7
2020-10;Região de Saúde do Centro;29502.0;3526.0;821699.97
2020-10;Região de Saúde LVT;64040.0;5680.0;1996168.0
2020-10;Região de Saúde do Algarve;6147.0;613.0;215303.86
2020-11;Região de Saúde do Alentejo;2869.0;530.0;121198.88
2020-11;Região de Saúde do Algarve;6040.0;640.0;212339.88
2020-12;Região de Saúde LVT;60460.0;5515.0;1922158.71
2020-12;Região de Saúde do Alentejo;2802.0;510.0;115297.8
2020-12;Região de Saúde do Algarve;5612.0;581.0;198222.13
2021-03;Região de Saúde do Alentejo;2880.0;624.0;117848.73
2021-05;Região de Saúde do Algarve;6315.0;622.0;200155.66
2021-06;Região de Saúde do Centro;28276.0;3627.0;819113.5
2021-06;Região de Saúde LVT;63075.0;6038.0;2068457.14
2021-07;Região de Saúde do Norte;85789.0;8242.0;2065556.01
2021-08;Região de Saúde LVT;63345.0;5958.0;2099083.60999999
2021-09;Região de Saúde LVT;65145.0;6123.0;2172029.53
2021-09;Região de Saúde do Alentejo;3132.0;603.0;109726.22
2021-11;Região de Saúde do Centro;32229.0;4110.0;872835.08
2022-01;Região de Saúde LVT;63210.0;5978.0;2276535.01
2022-01;Região de Saúde do Algarve;6521.0;655.0;204382.53
2022-03;Região de Saúde do Alentejo;3478.0;685.0;113417.23
2022-05;Região de Saúde LVT;68294.0;6444.0;2421730.58
2022-06;Região de Saúde do Centro;33316.0;4111.0;910654.34
2022-06;Região de Saúde LVT;65102.0;6345.0;2369673.81
2022-07;Região de Saúde do Centro;34595.0;4144.0;1107724.03
2022-07;Região de Saúde do Alentejo;3626.0;691.0;141817.13
2022-07;Região de Saúde do Algarve;6280.0;673.0;245269.46
2022-10;Região de Saúde LVT;68274.0;6492.0;2599924.84
2022-11;Região de Saúde do Alentejo;4003.0;686.0;135388.35
2023-01;Região de Saúde LVT;67334.0;6344.0;2405404.62999999
2023-04;Região de Saúde do Centro;30966.0;4352.0;969311.33
2023-05;Região de Saúde do Centro;36846.0;4598.0;1111172.18
2023-06;Região de Saúde do Alentejo;3787.0;631.0;122478.61
2023-07;Região de Saúde do Algarve;7797.0;812.0;259224.78
2023-08;Região de Saúde do Algarve;7918.0;783.0;262804.12
2023-10;Região de Saúde do Algarve;7506.0;750.0;239519.91
2023-12;Região de Saúde do Alentejo;3659.0;546.0;126818.94
2024-01;Região de Saúde LVT;70249.0;6585.0;2681836.54
2024-01;Região de Saúde do Alentejo;7931.0;1716.0;315755.25
2024-02;Região de Saúde do Centro;32258.0;4317.0;1040214.5
2024-02;Região de Saúde LVT;68308.0;6683.0;2536860.76
2024-03;Região de Saúde do Norte;106515.0;10842.0;2847327.35
2024-03;Região de Saúde do Centro;31925.0;4259.0;1017363.18
2024-03;Região de Saúde do Alentejo;7832.0;1672.0;316180.54
2024-04;Região de Saúde do Centro;32052.0;4296.0;1029700.79
2024-04;Região de Saúde do Alentejo;7716.0;1679.0;322811.36
2024-05;Região de Saúde LVT;73074.0;6813.0;2772159.11
2024-06;Região de Saúde do Algarve;6913.0;765.0;214308.3
2024-07;Região de Saúde do Norte;11394.0;11394.0;3069979.22
2024-07;Região de Saúde LVT;6853.0;6853.0;2795855.81999999
2024-09;Região de Saúde do Alentejo;7615.0;1709.0;310621.07
2024-10;Região de Saúde do Norte;122153.0;11672.0;3074872.49
2024-11;Região de Saúde do Norte;101347.0;11334.0;2627870.19999999
2024-11;Região de Saúde LVT;71999.0;6924.0;2746828.15
2024-11;Região de Saúde do Alentejo;7826.0;1785.0;313240.26
2024-11;Região de Saúde do Algarve;6899.0;714.0;223875.72
