RESERVA_TER_COD,RESERVA_LOCAL,RESERVA_DESTINO,RESERVA_DESCRICAO,RESERVA_POSICAO,VEICULO,RESERVA_TIPO_FACT,PED_COD_SERVICO,PED_NUM_VEICULOS,PED_NUM_BOMBEIROS,PED_KILOMETROS,PED_LOCAL,DURACAO_MINUTOS,ANO,MES,DIA_SEMANA,HORA_SAIDA_NUM,MINUTOS_SAIDA,TURNO
1,24,71,2,1,7,1,4119,1,1,20,75,48,2005,1,0,17,1037,1
1,5,72,4,1,3,1,4119,1,1,195,76,1260,2005,1,0,22,1360,2
4,5,73,5,2,12,2,4119,1,1,345,77,330,2005,1,1,6,360,4
3,5,10,5,1,10,4,4119,1,1,330,39,530,2005,1,1,6,390,4
1,1,38,3,1,1,1,4119,1,1,327,40,390,2005,1,1,6,390,4
1,1,5,3,1,7,1,4119,1,1,340,78,435,2005,1,1,8,525,3
1,5,74,2,1,2,1,4119,1,1,157,79,238,2005,1,1,12,737,3
1,5,75,2,1,3,1,4119,1,3,66,80,94,2005,1,1,20,1226,2
1,1,25,4,1,3,1,4119,1,2,170,28,1280,2005,1,1,22,1340,2
3,5,10,5,2,9,3,4119,1,1,320,6,450,2005,1,2,7,420,3
1,5,10,5,2,1,1,4119,1,1,350,6,500,2005,1,2,7,420,3
3,5,5,3,1,7,4,4119,1,1,330,6,435,2005,1,2,8,480,3
1,1,76,4,1,1,1,4119,1,1,155,81,255,2005,1,2,16,975,1
1,1,70,4,1,2,1,4119,1,1,85,82,120,2005,1,2,16,990,1
1,5,10,2,1,6,1,4119,1,2,320,18,1071,2005,1,2,18,1131,1
1,5,70,4,1,11,1,4119,1,1,85,82,115,2005,1,2,19,1175,2
1,5,77,4,1,3,1,4119,1,2,90,83,1350,2005,1,2,23,1380,2
1,5,52,6,1,7,2,4119,1,1,330,18,374,2005,1,3,9,586,3
3,5,5,4,1,10,4,4103,1,1,330,39,495,2005,1,3,12,750,3
1,5,75,2,1,1,1,4119,1,1,70,80,64,2005,1,3,14,896,1
1,5,78,2,1,3,1,4119,1,1,90,84,124,2005,1,3,14,896,1
